Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
5_vs_16,5,16,0.41242043780962057,False,No significant difference
5_vs_17,5,17,0.11801534320475633,False,No significant difference
5_vs_18,5,18,0.06297455147965365,False,No significant difference
5_vs_19,5,19,0.08835221930518852,False,No significant difference
5_vs_20,5,20,0.0031343381163137516,False,No significant difference
6_vs_7,6,7,0.9999999999999973,False,No significant difference
6_vs_8,6,8,0.9999999992278289,False,No significant difference
6_vs_9,6,9,0.9999993842274301,False,No significant difference
6_vs_10,6,10,0.9999995141949583,False,No significant difference
6_vs_11,6,11,0.9973339488376625,False,No significant difference
6_vs_12,6,12,0.9992988719127454,False,No significant difference
6_vs_13,6,13,0.9915566876233727,False,No significant difference
6_vs_14,6,14,0.8867738153249876,False,No significant difference
6_vs_15,6,15,0.9532181284149481,False,No significant difference
6_vs_16,6,16,0.8218257941960316,False,No significant difference
6_vs_17,6,17,0.45904313801584684,False,No significant difference
6_vs_18,6,18,0.32048763844865563,False,No significant difference
6_vs_19,6,19,0.3905784444236492,False,No significant difference
6_vs_20,6,20,0.042618221629505314,False,No significant difference
7_vs_8,7,8,0.9999999999999943,False,No significant difference
7_vs_9,7,9,0.9999999992667347,False,No significant difference
7_vs_10,7,10,0.9999999994956538,False,No significant difference
7_vs_11,7,11,0.9998541668839421,False,No significant difference
7_vs_12,7,12,0.9999772882778893,False,No significant difference
7_vs_13,7,13,0.9992791476439935,False,No significant difference
7_vs_14,7,14,0.9724954039660557,False,No significant difference
7_vs_15,7,15,0.9921661638201624,False,No significant difference
7_vs_16,7,16,0.9468626045130184,False,No significant difference
7_vs_17,7,17,0.7061793737631323,False,No significant difference
7_vs_18,7,18,0.5655773507776936,False,No significant difference
7_vs_19,7,19,0.6407791287755257,False,No significant difference
7_vs_20,7,20,0.12981596408312165,False,No significant difference
8_vs_9,8,9,0.9999999999999976,False,No significant difference
8_vs_10,8,10,0.9999999999999989,False,No significant difference
8_vs_11,8,11,0.9999979822761188,False,No significant difference
8_vs_12,8,12,0.9999998672571264,False,No significant difference
8_vs_13,8,13,0.9999801566013946,False,No significant difference
8_vs_14,8,14,0.9966362953012959,False,No significant difference
8_vs_15,8,15,0.9994270139623294,False,No significant difference
8_vs_16,8,16,0.9914176933199259,False,No significant difference
8_vs_17,8,17,0.893457444850569,False,No significant difference
8_vs_18,8,18,0.8023358376851624,False,No significant difference
8_vs_19,8,19,0.8541669363003523,False,No significant difference
8_vs_20,8,20,0.31181263024205375,False,No significant difference
9_vs_10,9,10,1.0,False,No significant difference
9_vs_11,9,11,0.9999999951615465,False,No significant difference
9_vs_12,9,12,0.9999999999338559,False,No significant difference
9_vs_13,9,13,0.9999998541542816,False,No significant difference
9_vs_14,9,14,0.9997945797291046,False,No significant difference
9_vs_15,9,15,0.9999824380603592,False,No significant difference
9_vs_16,9,16,0.9992495793632876,False,No significant difference
9_vs_17,9,17,0.9745337401219387,False,No significant difference
9_vs_18,9,18,0.937557612605056,False,No significant difference
9_vs_19,9,19,0.9599629597660501,False,No significant difference
9_vs_20,9,20,0.5540711109591647,False,No significant difference
10_vs_11,10,11,0.9999999933074535,False,No significant difference
10_vs_12,10,12,0.9999999998989465,False,No significant difference
10_vs_13,10,13,0.999999811176595,False,No significant difference
10_vs_14,10,14,0.9997630246748856,False,No significant difference
10_vs_15,10,15,0.9999789918836156,False,No significant difference
10_vs_16,10,16,0.9991501304870376,False,No significant difference
10_vs_17,10,17,0.9725761285963824,False,No significant difference
10_vs_18,10,18,0.9336757155900998,False,No significant difference
10_vs_19,10,19,0.9571789510143606,False,No significant difference
10_vs_20,10,20,0.5429829279315086,False,No significant difference
11_vs_12,11,12,1.0,False,No significant difference
11_vs_13,11,13,1.0,False,No significant difference
11_vs_14,11,14,0.9999999982969779,False,No significant difference
11_vs_15,11,15,0.9999999999974188,False,No significant difference
11_vs_16,11,16,0.99999996383704,False,No significant difference
11_vs_17,11,17,0.9999225178932324,False,No significant difference
11_vs_18,11,18,0.999476792876822,False,No significant difference
11_vs_19,11,19,0.9997975173815252,False,No significant difference
11_vs_20,11,20,0.952603780890777,False,No significant difference
12_vs_13,12,13,0.9999999999999968,False,No significant difference
12_vs_14,12,14,0.9999999395883558,False,No significant difference
12_vs_15,12,15,0.9999999995734322,False,No significant difference
12_vs_16,12,16,0.9999993013140893,False,No significant difference
12_vs_17,12,17,0.9995886784031836,False,No significant difference
12_vs_18,12,18,0.9979209627987995,False,No significant difference
12_vs_19,12,19,0.9990714769010047,False,No significant difference
12_vs_20,12,20,0.9062130722380812,False,No significant difference
13_vs_14,13,14,0.9999999999848259,False,No significant difference
13_vs_15,13,15,0.9999999999999986,False,No significant difference
13_vs_16,13,16,0.9999999991749624,False,No significant difference
13_vs_17,13,17,0.9999896808816406,False,No significant difference
13_vs_18,13,18,0.9999001879281159,False,No significant difference
13_vs_19,13,19,0.9999676166049164,False,No significant difference
13_vs_20,13,20,0.9793626723947543,False,No significant difference
14_vs_15,14,15,1.0,False,No significant difference
14_vs_16,14,16,1.0,False,No significant difference
14_vs_17,14,17,0.9999999995032391,False,No significant difference
14_vs_18,14,18,0.9999999610433888,False,No significant difference
14_vs_19,14,19,0.9999999953177658,False,No significant difference
14_vs_20,14,20,0.9995591256628502,False,No significant difference
15_vs_16,15,16,0.9999999999999882,False,No significant difference
15_vs_17,15,17,0.9999999325364085,False,No significant difference
15_vs_18,15,18,0.9999982656993234,False,No significant difference
15_vs_19,15,19,0.9999996487219958,False,No significant difference
15_vs_20,15,20,0.997276190090765,False,No significant difference
16_vs_17,16,17,0.9999999999920864,False,No significant difference
16_vs_18,16,18,0.9999999981349152,False,No significant difference
16_vs_19,16,19,0.9999999998638016,False,No significant difference
16_vs_20,16,20,0.9998885118518712,False,No significant difference
17_vs_18,17,18,1.0,False,No significant difference
17_vs_19,17,19,1.0,False,No significant difference
17_vs_20,17,20,0.9999999302758197,False,No significant difference
18_vs_19,18,19,1.0,False,No significant difference
18_vs_20,18,20,0.9999999989276744,False,No significant difference
19_vs_20,19,20,0.9999999891139686,False,No significant difference
