Comparison,Group 1,Group 2,P-Value,Significant,Interpretation
7_vs_13,7,13,0.9999997887654314,False,No significant difference
7_vs_14,7,14,0.9999999008260337,False,No significant difference
7_vs_15,7,15,0.8376868555836645,False,No significant difference
7_vs_16,7,16,0.7799926061988112,False,No significant difference
7_vs_17,7,17,0.9993129159949329,False,No significant difference
7_vs_18,7,18,0.9792017321075547,False,No significant difference
7_vs_19,7,19,0.46036023900678447,False,No significant difference
7_vs_20,7,20,0.9756903232707391,False,No significant difference
8_vs_9,8,9,0.9999999999747683,False,No significant difference
8_vs_10,8,10,0.9999649723963921,False,No significant difference
8_vs_11,8,11,0.9999999999999323,False,No significant difference
8_vs_12,8,12,0.9999998313622211,False,No significant difference
8_vs_13,8,13,0.9999999640440967,False,No significant difference
8_vs_14,8,14,0.9999999847335529,False,No significant difference
8_vs_15,8,15,0.8811338053698963,False,No significant difference
8_vs_16,8,16,0.8326950304602914,False,No significant difference
8_vs_17,8,17,0.9997123361758702,False,No significant difference
8_vs_18,8,18,0.9878167112719823,False,No significant difference
8_vs_19,8,19,0.5329905578218925,False,No significant difference
8_vs_20,8,20,0.985532096185802,False,No significant difference
9_vs_10,9,10,0.9999999962111754,False,No significant difference
9_vs_11,9,11,1.0,False,No significant difference
9_vs_12,9,12,0.9999999999999767,False,No significant difference
9_vs_13,9,13,0.9999999999999997,False,No significant difference
9_vs_14,9,14,1.0,False,No significant difference
9_vs_15,9,15,0.9916634957206152,False,No significant difference
9_vs_16,9,16,0.9844176407537171,False,No significant difference
9_vs_17,9,17,0.9999997971864512,False,No significant difference
9_vs_18,9,18,0.9998475193548011,False,No significant difference
9_vs_19,9,19,0.8838591366221991,False,No significant difference
9_vs_20,9,20,0.9997945801646603,False,No significant difference
10_vs_11,10,11,0.9999999002936462,False,No significant difference
10_vs_12,10,12,0.9999999999999823,False,No significant difference
10_vs_13,10,13,0.9999999999993725,False,No significant difference
10_vs_14,10,14,0.9999999999969835,False,No significant difference
10_vs_15,10,15,0.9999916631551911,False,No significant difference
10_vs_16,10,16,0.999968922819637,False,No significant difference
10_vs_17,10,17,1.0,False,No significant difference
10_vs_18,10,18,0.9999999989276772,False,No significant difference
10_vs_19,10,19,0.9978173801882417,False,No significant difference
10_vs_20,10,20,0.9999999977971584,False,No significant difference
11_vs_12,11,12,0.9999999999880206,False,No significant difference
11_vs_13,11,13,0.9999999999993725,False,No significant difference
11_vs_14,11,14,0.9999999999998888,False,No significant difference
11_vs_15,11,15,0.9790397444685713,False,No significant difference
11_vs_16,11,16,0.9643227851782411,False,No significant difference
11_vs_17,11,17,0.9999974277836264,False,No significant difference
11_vs_18,11,18,0.9993146536603398,False,No significant difference
11_vs_19,11,19,0.8075170409669553,False,No significant difference
11_vs_20,11,20,0.9991159340434741,False,No significant difference
12_vs_13,12,13,1.0,False,No significant difference
12_vs_14,12,14,1.0,False,No significant difference
12_vs_15,12,15,0.9995163567211438,False,No significant difference
12_vs_16,12,16,0.9988041209133919,False,No significant difference
12_vs_17,12,17,0.9999999999650933,False,No significant difference
12_vs_18,12,18,0.9999986010663479,False,No significant difference
12_vs_19,12,19,0.9771200378246038,False,No significant difference
12_vs_20,12,20,0.9999978204163629,False,No significant difference
13_vs_14,13,14,1.0,False,No significant difference
13_vs_15,13,15,0.9990083353047294,False,No significant difference
13_vs_16,13,16,0.9977143372223154,False,No significant difference
13_vs_17,13,17,0.9999999996314073,False,No significant difference
13_vs_18,13,18,0.9999953614318331,False,No significant difference
13_vs_19,13,19,0.9653525870509514,False,No significant difference
13_vs_20,13,20,0.999993050054867,False,No significant difference
14_vs_15,14,15,0.9986000386148528,False,No significant difference
14_vs_16,14,16,0.9968802032601236,False,No significant difference
14_vs_17,14,17,0.9999999989120831,False,No significant difference
14_vs_18,14,18,0.99999179039873,False,No significant difference
14_vs_19,14,19,0.9577473863972576,False,No significant difference
14_vs_20,14,20,0.999987920054073,False,No significant difference
15_vs_16,15,16,1.0,False,No significant difference
15_vs_17,15,17,0.999999560780631,False,No significant difference
15_vs_18,15,18,0.9999999999968563,False,No significant difference
15_vs_19,15,19,0.999999999979563,False,No significant difference
15_vs_20,15,20,0.9999999999989393,False,No significant difference
16_vs_17,16,17,0.9999977350658906,False,No significant difference
16_vs_18,16,18,0.9999999999086288,False,No significant difference
16_vs_19,16,19,0.9999999999995064,False,No significant difference
16_vs_20,16,20,0.99999999996218,False,No significant difference
17_vs_18,17,18,0.9999999999970454,False,No significant difference
17_vs_19,17,19,0.9995864704552915,False,No significant difference
17_vs_20,17,20,0.9999999999917717,False,No significant difference
18_vs_19,18,19,0.9999988956317855,False,No significant difference
18_vs_20,18,20,1.0,False,No significant difference
19_vs_20,19,20,0.9999993077952253,False,No significant difference
