,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,Class
20,0.17,0.98,0.0,0.47,0.31,0.03,0.84,0.0,1.0,0.5,0.71,0.98,0.23,1.0,0.03,0.52,0
21,0.18,0.84,0.15,0.44,0.39,0.04,0.83,0.0,1.0,0.43,0.83,0.84,0.37,1.0,0.0,0.71,0
22,0.19,1.0,0.1,0.46,0.29,0.0,0.75,0.15,1.0,0.58,0.65,0.92,0.19,0.85,0.0,0.4,0
23,0.19,0.78,0.0,0.36,0.25,0.0,0.71,0.04,1.0,0.39,0.9,0.84,0.49,1.0,0.1,0.76,0
24,0.19,0.86,0.09,0.55,0.13,0.16,0.6,0.0,0.96,0.33,1.0,0.72,0.57,1.0,0.0,0.82,0
25,0.19,0.92,0.0,0.51,0.17,0.07,0.64,0.0,1.0,0.29,0.91,0.77,0.5,1.0,0.04,0.87,0
26,0.2,0.81,0.0,0.39,0.22,0.0,0.68,0.05,1.0,0.37,0.89,0.83,0.47,1.0,0.14,0.68,0
27,0.2,0.93,0.01,0.47,0.09,0.0,0.63,0.0,1.0,0.38,1.0,0.84,0.45,1.0,0.0,0.7,0
28,0.21,0.83,0.0,0.65,0.0,0.28,0.35,0.0,0.84,0.17,1.0,0.53,0.84,0.88,0.3,1.0,0
29,0.22,0.71,0.0,0.35,0.28,0.0,0.72,0.08,1.0,0.45,0.96,0.9,0.54,1.0,0.16,0.75,0
30,0.22,0.88,0.15,0.37,0.37,0.0,0.77,0.12,1.0,0.51,0.77,0.92,0.37,1.0,0.0,0.78,0
31,0.23,1.0,0.0,0.65,0.05,0.23,0.52,0.0,1.0,0.21,0.95,0.62,0.53,0.92,0.12,0.66,0
32,0.23,0.9,0.0,0.47,0.16,0.0,0.74,0.12,1.0,0.57,0.76,1.0,0.2,0.79,0.02,0.33,0
33,0.23,0.97,0.0,0.53,0.2,0.06,0.66,0.0,1.0,0.35,0.98,0.84,0.53,1.0,0.09,0.81,0
34,0.24,0.84,0.0,0.42,0.11,0.0,0.61,0.09,0.95,0.44,1.0,0.89,0.54,1.0,0.14,0.7,0
35,0.25,0.5,0.17,0.11,0.58,0.0,0.9,0.27,1.0,0.65,0.8,0.99,0.36,1.0,0.0,0.75,0
36,0.25,0.72,0.15,0.31,0.47,0.0,0.93,0.08,1.0,0.5,0.73,0.87,0.28,1.0,0.0,0.68,0
37,0.25,0.88,0.08,0.68,0.0,0.27,0.39,0.0,0.87,0.15,1.0,0.56,0.73,0.89,0.2,1.0,0
38,0.26,0.65,0.0,0.46,0.04,0.01,0.54,0.0,0.95,0.3,1.0,0.75,0.59,1.0,0.12,0.82,0
39,0.26,0.83,0.26,0.14,0.66,0.03,1.0,0.47,0.89,1.0,0.45,0.86,0.06,0.47,0.0,0.0,0
40,0.26,0.88,0.0,0.58,0.04,0.17,0.54,0.0,0.96,0.28,1.0,0.69,0.63,1.0,0.12,0.86,0
41,0.27,1.0,0.0,0.66,0.06,0.28,0.45,0.0,1.0,0.2,1.0,0.57,0.76,0.92,0.21,0.9,0
42,0.27,0.82,0.05,0.39,0.3,0.0,0.8,0.15,1.0,0.59,0.74,1.0,0.23,0.95,0.0,0.53,0
43,0.27,0.92,0.0,0.66,0.15,0.21,0.6,0.0,1.0,0.28,0.96,0.73,0.53,1.0,0.02,0.92,0
44,0.28,1.0,0.04,0.63,0.0,0.2,0.32,0.0,0.73,0.24,1.0,0.59,0.77,0.89,0.3,0.85,0
45,0.28,0.92,0.12,0.44,0.35,0.0,0.83,0.11,1.0,0.57,0.72,1.0,0.25,0.95,0.0,0.52,0
46,0.29,0.67,0.07,0.26,0.42,0.0,0.9,0.19,1.0,0.62,0.75,1.0,0.25,0.95,0.0,0.55,0
47,0.29,0.84,0.0,0.54,0.15,0.08,0.63,0.0,1.0,0.32,0.91,0.79,0.48,1.0,0.03,0.81,0
48,0.3,0.49,0.24,0.09,0.6,0.0,0.9,0.31,1.0,0.71,0.75,1.0,0.32,0.9,0.0,0.63,0
49,0.31,1.0,0.0,0.64,0.01,0.16,0.43,0.0,0.83,0.25,1.0,0.71,0.65,0.98,0.2,0.84,0
50,0.31,1.0,0.02,0.56,0.12,0.03,0.6,0.0,1.0,0.35,0.91,0.85,0.42,0.9,0.0,0.6,0
51,0.31,0.78,0.0,0.57,0.14,0.13,0.59,0.0,1.0,0.23,0.98,0.69,0.62,1.0,0.19,0.91,0
52,0.32,1.0,0.0,0.7,0.11,0.24,0.56,0.0,1.0,0.22,0.95,0.68,0.55,0.98,0.15,0.77,0
53,0.32,1.0,0.06,0.65,0.0,0.24,0.29,0.0,0.7,0.2,1.0,0.53,0.93,0.9,0.47,0.97,0
54,0.32,0.89,0.0,0.68,0.16,0.24,0.57,0.0,0.97,0.27,1.0,0.72,0.61,0.99,0.1,1.0,0
55,0.32,0.91,0.11,0.68,0.0,0.23,0.42,0.0,0.85,0.27,1.0,0.71,0.66,1.0,0.2,0.75,0
56,0.33,0.77,0.09,0.4,0.26,0.0,0.76,0.08,1.0,0.46,0.87,0.89,0.36,1.0,0.0,0.69,0
57,0.33,0.96,0.06,0.6,0.0,0.18,0.39,0.0,0.79,0.2,1.0,0.59,0.93,1.0,0.5,0.99,0
58,0.34,0.89,0.14,0.84,0.0,0.38,0.24,0.0,0.75,0.03,1.0,0.42,0.82,0.86,0.34,1.0,0
59,0.34,0.93,0.07,0.61,0.0,0.25,0.34,0.0,0.81,0.12,1.0,0.46,0.98,0.83,0.62,1.0,0
60,0.35,0.83,0.18,0.81,0.0,0.4,0.21,0.04,0.69,0.0,1.0,0.28,0.91,0.71,0.57,1.0,0
61,0.36,1.0,0.0,0.73,0.01,0.28,0.41,0.0,0.89,0.17,1.0,0.61,0.74,0.98,0.21,0.94,0
62,0.03,0.69,0.0,0.18,0.37,0.0,0.77,0.13,1.0,0.54,0.8,0.97,0.41,1.0,0.21,0.61,0
63,0.36,0.97,0.0,0.59,0.09,0.14,0.61,0.0,0.99,0.34,1.0,0.81,0.53,1.0,0.05,0.73,0
64,0.37,0.84,0.0,0.51,0.02,0.07,0.53,0.0,0.98,0.27,1.0,0.7,0.58,1.0,0.07,0.99,0
65,0.38,1.0,0.01,0.75,0.0,0.29,0.36,0.0,0.8,0.14,1.0,0.56,0.79,0.97,0.37,0.94,0
66,0.38,0.87,0.11,0.47,0.18,0.02,0.66,0.0,1.0,0.35,0.91,0.8,0.45,1.0,0.0,0.83,0
67,0.39,0.77,0.0,0.43,0.13,0.02,0.67,0.0,0.96,0.39,1.0,0.84,0.54,1.0,0.05,0.76,0
68,0.4,1.0,0.12,0.76,0.0,0.33,0.3,0.0,0.82,0.01,1.0,0.39,0.75,0.78,0.3,1.0,0
69,0.4,0.94,0.0,0.51,0.06,0.0,0.71,0.05,1.0,0.52,0.77,1.0,0.18,0.82,0.06,0.32,0
70,0.4,0.98,0.17,0.76,0.0,0.28,0.35,0.0,0.84,0.25,1.0,0.7,0.55,1.0,0.04,0.95,0
71,0.04,0.25,0.68,0.64,0.33,0.97,0.0,0.36,0.38,0.0,1.0,0.43,0.96,1.0,0.22,0.85,0
72,0.42,0.94,0.01,0.7,0.0,0.26,0.44,0.0,0.92,0.22,1.0,0.66,0.64,1.0,0.17,0.84,0
73,0.43,1.0,0.08,0.67,0.03,0.27,0.41,0.0,0.87,0.27,1.0,0.66,0.54,0.92,0.0,0.74,0
74,0.44,1.0,0.11,0.69,0.0,0.3,0.27,0.0,0.79,0.17,1.0,0.53,0.8,0.89,0.24,0.91,0
75,0.44,0.79,0.19,0.6,0.06,0.14,0.55,0.0,1.0,0.34,0.92,0.79,0.35,1.0,0.0,0.69,0
76,0.44,0.99,0.11,0.71,0.0,0.3,0.3,0.0,0.74,0.11,1.0,0.47,0.88,0.86,0.46,1.0,0
77,0.45,0.99,0.05,0.77,0.0,0.3,0.34,0.0,0.79,0.19,1.0,0.62,0.74,1.0,0.25,1.0,0
78,0.04,0.67,0.0,0.35,0.17,0.0,0.61,0.12,0.93,0.43,1.0,0.83,0.61,1.0,0.21,0.83,0
79,0.47,1.0,0.17,0.68,0.0,0.34,0.09,0.0,0.71,0.18,0.97,0.51,1.0,0.86,0.48,0.95,0
80,0.47,0.99,0.11,0.74,0.0,0.31,0.3,0.0,0.75,0.06,1.0,0.42,0.89,0.85,0.49,1.0,0
81,0.48,0.91,0.2,0.6,0.0,0.28,0.18,0.0,0.66,0.15,0.9,0.45,1.0,0.79,0.69,1.0,0
82,0.49,1.0,0.13,0.69,0.0,0.27,0.3,0.0,0.74,0.19,1.0,0.56,0.83,0.94,0.36,0.98,0
83,0.49,0.74,0.14,0.4,0.28,0.0,0.78,0.14,1.0,0.56,0.71,0.93,0.18,1.0,0.0,0.64,0
84,0.5,0.91,0.16,0.7,0.0,0.3,0.29,0.0,0.76,0.24,1.0,0.62,0.89,1.0,0.36,0.85,0
85,0.51,0.88,0.14,0.74,0.0,0.27,0.35,0.0,0.85,0.24,1.0,0.69,0.61,1.0,0.15,0.76,0
86,0.52,0.85,0.1,0.62,0.0,0.2,0.41,0.0,0.87,0.22,1.0,0.62,0.7,0.96,0.2,1.0,0
87,0.54,1.0,0.18,0.69,0.0,0.3,0.27,0.0,0.72,0.18,1.0,0.54,0.84,0.91,0.34,0.93,0
88,0.55,1.0,0.15,0.89,0.0,0.39,0.23,0.0,0.69,0.06,1.0,0.44,0.9,0.92,0.47,0.91,0
89,0.55,1.0,0.09,0.78,0.0,0.36,0.29,0.0,0.83,0.17,1.0,0.58,0.79,0.97,0.21,0.89,0
90,0.56,0.97,0.16,1.0,0.0,0.55,0.18,0.11,0.67,0.0,1.0,0.36,0.91,0.82,0.44,0.98,0
91,0.05,0.73,0.0,0.27,0.38,0.0,0.81,0.12,1.0,0.58,0.78,1.0,0.31,0.99,0.1,0.57,0
92,0.05,0.87,0.05,0.3,0.41,0.0,0.83,0.09,1.0,0.58,0.7,1.0,0.29,0.95,0.0,0.51,0
93,0.59,0.86,0.26,0.92,0.0,0.49,0.21,0.05,0.68,0.0,1.0,0.35,0.82,0.81,0.39,1.0,0
94,0.6,1.0,0.13,0.73,0.0,0.34,0.28,0.0,0.81,0.21,1.0,0.6,0.83,0.97,0.28,0.81,0
95,0.62,0.81,0.22,0.8,0.0,0.38,0.23,0.0,0.71,0.04,1.0,0.43,0.84,0.88,0.4,1.0,0
96,0.63,1.0,0.23,0.77,0.0,0.39,0.03,0.0,0.61,0.07,1.0,0.38,0.99,0.78,0.46,0.96,0
97,0.06,0.59,0.0,0.24,0.33,0.0,0.74,0.14,1.0,0.46,0.94,0.85,0.53,1.0,0.16,0.79,0
98,0.67,1.0,0.19,0.9,0.0,0.47,0.14,0.04,0.69,0.0,1.0,0.38,0.91,0.82,0.46,0.99,0
99,0.06,0.78,0.0,0.37,0.19,0.0,0.76,0.03,1.0,0.4,0.99,0.8,0.51,1.0,0.07,0.73,0
100,0.69,1.0,0.22,0.8,0.0,0.34,0.31,0.0,0.8,0.28,1.0,0.75,0.56,0.99,0.07,0.71,0
101,0.71,0.95,0.25,0.88,0.0,0.43,0.15,0.0,0.64,0.11,1.0,0.5,0.87,0.95,0.38,1.0,0
102,0.72,0.97,0.23,0.8,0.0,0.37,0.22,0.0,0.76,0.18,1.0,0.61,0.79,1.0,0.24,0.93,0
103,0.07,0.54,0.08,0.14,0.56,0.0,0.99,0.24,1.0,0.68,0.63,1.0,0.12,0.97,0.0,0.56,0
104,0.77,1.0,0.3,0.79,0.0,0.4,0.11,0.0,0.64,0.08,1.0,0.42,0.98,0.85,0.46,0.95,0
105,0.07,0.88,0.0,0.42,0.19,0.0,0.67,0.01,1.0,0.35,0.93,0.79,0.49,1.0,0.03,0.89,0
106,0.79,0.86,0.27,0.68,0.0,0.35,0.11,0.0,0.7,0.05,1.0,0.37,0.84,0.71,0.43,1.0,0
107,0.81,0.9,0.29,0.82,0.0,0.42,0.1,0.0,0.7,0.16,1.0,0.56,0.96,1.0,0.47,0.82,0
108,0.83,1.0,0.32,0.99,0.0,0.68,0.02,0.3,0.33,0.0,0.82,0.12,1.0,0.48,0.88,0.86,0
109,0.87,0.78,0.5,0.94,0.16,0.59,0.0,0.19,0.45,0.0,0.99,0.24,1.0,0.63,0.67,1.0,0
110,0.89,0.77,0.57,1.0,0.19,0.73,0.0,0.36,0.19,0.0,0.67,0.05,1.0,0.35,0.83,0.67,0
111,0.94,0.95,0.56,1.0,0.23,0.67,0.0,0.29,0.19,0.0,0.69,0.16,1.0,0.5,0.89,0.9,0
112,0.97,1.0,0.41,0.81,0.14,0.13,0.71,0.23,1.0,0.85,0.77,0.85,0.47,0.53,0.0,0.0,0
113,0.09,0.81,0.05,0.24,0.54,0.0,0.99,0.38,1.0,0.94,0.48,1.0,0.08,0.56,0.0,0.04,0
114,0.09,0.97,0.0,0.48,0.22,0.01,0.75,0.0,1.0,0.46,0.87,0.97,0.39,1.0,0.05,0.58,0
115,0.0,0.0,0.29,0.19,0.53,0.46,0.78,0.74,1.0,1.0,0.81,0.67,0.65,0.34,0.5,0.0,1
116,0.0,0.2,0.23,0.43,0.5,0.65,0.76,0.87,1.0,1.0,0.88,0.66,0.77,0.34,0.79,0.0,1
117,0.0,0.25,0.26,0.48,0.66,0.73,1.0,1.0,0.96,0.93,0.72,0.62,0.48,0.31,0.31,0.0,1
118,0.0,0.27,0.34,0.51,0.7,0.75,1.0,1.0,0.83,0.77,0.68,0.52,0.55,0.26,0.47,0.0,1
119,0.0,0.31,0.35,0.5,0.69,0.75,1.0,1.0,0.91,0.79,0.69,0.52,0.49,0.26,0.34,0.0,1
120,0.0,0.32,0.24,0.56,0.62,0.77,1.0,1.0,1.0,0.91,0.77,0.62,0.62,0.32,0.54,0.0,1
121,0.0,0.33,0.44,0.52,0.77,0.76,1.0,1.0,0.83,0.73,0.73,0.47,0.65,0.2,0.54,0.0,1
122,0.0,0.36,0.3,0.59,0.66,0.79,1.0,1.0,0.76,0.75,0.5,0.51,0.26,0.26,0.17,0.0,1
123,0.0,0.37,0.14,0.7,0.27,1.0,0.26,0.64,0.24,0.28,0.03,0.0,0.18,0.05,1.0,0.12,1
124,0.0,0.37,0.5,0.49,0.8,0.74,1.0,1.0,0.96,0.76,0.86,0.5,0.7,0.23,0.59,0.0,1
125,0.0,0.38,0.36,0.54,0.68,0.78,1.0,1.0,0.78,0.75,0.59,0.5,0.44,0.25,0.34,0.0,1
126,0.0,0.39,0.39,0.59,0.8,0.82,1.0,1.0,0.74,0.76,0.52,0.51,0.37,0.25,0.33,0.0,1
127,0.0,0.4,0.3,0.55,0.56,0.77,0.82,1.0,1.0,0.91,0.89,0.6,0.76,0.3,0.74,0.0,1
128,0.0,0.41,0.4,0.58,0.74,0.8,1.0,1.0,0.88,0.75,0.75,0.5,0.65,0.25,0.65,0.0,1
129,0.0,0.41,0.73,0.63,1.0,0.87,0.86,1.0,0.73,0.75,0.64,0.5,0.64,0.25,0.77,0.0,1
130,0.0,0.43,0.13,0.66,0.45,0.88,0.77,1.0,0.68,0.74,0.68,0.48,0.7,0.22,1.0,0.0,1
131,0.0,0.43,0.34,0.59,0.68,0.79,1.0,1.0,0.85,0.75,0.69,0.49,0.51,0.24,0.3,0.0,1
132,0.0,0.43,0.35,0.6,0.67,0.8,0.99,1.0,1.0,0.75,1.0,0.49,1.0,0.24,0.99,0.0,1
133,0.0,0.44,0.3,0.61,0.67,0.8,1.0,1.0,0.96,0.8,0.83,0.53,0.68,0.26,0.62,0.0,1
134,0.0,0.45,0.27,0.61,0.63,0.81,1.0,1.0,0.84,0.74,0.63,0.49,0.41,0.24,0.2,0.0,1
135,0.0,0.46,0.49,0.64,0.78,0.87,1.0,1.0,0.91,0.75,0.85,0.49,0.75,0.24,0.89,0.0,1
136,0.0,0.47,0.19,0.67,0.54,0.88,0.79,1.0,0.79,0.75,0.86,0.5,0.93,0.25,1.0,0.0,1
137,0.0,0.48,0.28,0.64,0.61,0.82,0.92,1.0,1.0,0.84,0.86,0.56,0.73,0.28,0.64,0.0,1
138,0.0,0.49,0.25,0.58,0.62,0.79,1.0,1.0,0.96,0.79,0.81,0.53,0.67,0.26,0.58,0.0,1
139,0.0,0.5,0.38,0.68,0.65,0.93,1.0,1.0,0.88,0.75,0.72,0.5,0.6,0.25,0.45,0.0,1
140,0.0,0.51,0.2,0.66,0.52,0.84,0.85,1.0,1.0,0.86,0.85,0.57,0.68,0.29,0.58,0.0,1
141,0.0,0.51,0.21,0.68,0.63,0.88,1.0,1.0,0.79,0.75,0.58,0.5,0.37,0.25,0.3,0.0,1
142,0.0,0.52,0.33,0.67,0.68,0.82,1.0,1.0,0.94,0.77,0.82,0.5,0.69,0.23,0.72,0.0,1
143,0.0,0.52,0.39,0.67,0.76,0.84,1.0,1.0,0.89,0.75,0.78,0.49,0.65,0.24,0.52,0.0,1
144,0.0,0.53,0.3,0.82,0.62,1.0,0.52,0.61,0.5,0.21,0.2,0.03,0.45,0.0,1.0,0.03,1
145,0.0,0.53,0.35,0.76,0.78,0.98,1.0,1.0,0.84,0.75,0.68,0.5,0.54,0.25,0.54,0.0,1
146,0.0,0.54,0.0,0.72,0.42,0.9,0.91,1.0,1.0,0.76,0.74,0.51,0.48,0.26,0.26,0.0,1
147,0.0,0.54,0.31,0.65,0.69,0.87,1.0,1.0,0.83,0.75,0.79,0.5,0.81,0.24,1.0,0.0,1
148,0.0,0.54,0.53,0.76,0.98,1.0,0.91,0.94,0.84,0.68,0.79,0.42,0.7,0.16,1.0,0.0,1
149,0.0,0.55,0.3,0.67,0.66,0.82,1.0,1.0,0.81,0.82,0.61,0.56,0.46,0.28,0.39,0.0,1
150,0.0,0.55,0.41,0.76,0.63,1.0,0.69,0.92,0.71,0.68,0.78,0.43,0.88,0.18,1.0,0.0,1
151,0.0,0.55,0.57,0.76,1.0,1.0,0.73,0.83,0.71,0.57,0.79,0.32,0.89,0.06,0.93,0.0,1
152,0.0,0.56,0.4,0.72,0.79,0.9,1.0,1.0,0.86,0.74,0.7,0.49,0.55,0.23,0.45,0.0,1
153,0.0,0.56,0.56,0.69,0.82,0.92,0.92,1.0,0.85,0.75,0.85,0.5,0.86,0.24,1.0,0.0,1
154,0.0,0.57,0.33,0.74,0.79,0.94,1.0,1.0,0.81,0.75,0.65,0.5,0.53,0.25,0.51,0.0,1
155,0.0,0.58,0.26,0.62,0.63,0.85,1.0,1.0,0.76,0.75,0.51,0.51,0.32,0.25,0.2,0.0,1
156,0.0,0.59,0.16,0.73,0.77,0.95,1.0,1.0,0.7,0.75,0.45,0.5,0.25,0.25,0.34,0.0,1
157,0.0,0.59,0.05,0.73,0.61,0.91,1.0,1.0,0.75,0.75,0.52,0.51,0.33,0.25,0.25,0.0,1
158,0.0,0.6,0.31,0.7,0.64,0.88,1.0,1.0,0.9,0.75,0.79,0.5,0.73,0.25,0.7,0.0,1
159,0.0,0.6,0.4,0.87,0.57,1.0,0.52,0.66,0.55,0.32,0.43,0.02,0.24,0.0,1.0,0.05,1
160,0.0,0.61,0.32,0.81,0.74,1.0,1.0,0.93,0.97,0.69,0.97,0.46,0.95,0.23,0.91,0.0,1
161,0.0,0.61,0.35,0.82,0.9,1.0,1.0,0.93,0.69,0.71,0.44,0.47,0.23,0.24,0.08,0.0,1
162,0.0,0.62,0.27,0.73,0.66,0.9,1.0,1.0,0.8,0.74,0.59,0.48,0.42,0.21,0.36,0.0,1
163,0.0,0.62,0.47,0.88,0.67,1.0,0.63,0.65,0.59,0.29,0.46,0.02,0.34,0.0,1.0,0.0,1
164,0.0,0.63,0.42,0.81,0.95,1.0,0.79,0.81,0.63,0.6,0.63,0.4,0.74,0.2,1.0,0.0,1
165,0.0,0.64,0.21,1.0,0.27,0.86,0.24,0.43,0.08,0.04,0.06,0.0,0.53,0.02,1.0,0.06,1
166,0.0,0.64,0.43,0.78,0.81,1.0,1.0,0.98,0.95,0.73,0.88,0.49,0.81,0.24,0.83,0.0,1
167,0.0,0.64,0.56,0.81,1.0,1.0,0.96,0.85,0.8,0.64,0.68,0.42,0.44,0.21,0.36,0.0,1
168,0.0,0.65,0.42,0.81,0.88,1.0,1.0,0.91,0.85,0.68,0.67,0.46,0.5,0.23,0.42,0.0,1
169,0.0,0.65,0.51,0.62,0.69,1.0,0.6,0.66,0.58,0.25,1.0,0.09,0.51,0.02,0.1,0.0,1
170,0.0,0.66,0.38,0.82,0.8,1.0,1.0,0.98,0.8,0.73,0.58,0.48,0.38,0.22,0.29,0.0,1
171,0.0,0.66,0.43,1.0,0.49,0.89,0.19,0.42,0.48,0.1,1.0,0.05,0.38,0.01,0.03,0.0,1
172,0.0,0.67,0.27,0.77,0.67,0.93,1.0,1.0,0.92,0.75,0.85,0.5,0.79,0.25,0.75,0.0,1
173,0.0,0.67,0.42,0.81,0.94,1.0,1.0,0.86,0.77,0.64,0.61,0.42,0.45,0.21,0.52,0.0,1
174,0.0,0.68,0.27,1.0,0.28,0.81,0.25,0.4,0.19,0.0,0.01,0.0,0.5,0.03,1.0,0.06,1
175,0.0,0.69,0.26,0.77,0.92,0.97,1.0,1.0,0.76,0.75,0.55,0.5,0.39,0.25,0.29,0.0,1
176,0.0,0.69,0.43,0.84,0.89,1.0,1.0,0.95,0.74,0.71,0.51,0.47,0.34,0.21,0.16,0.0,1
177,0.0,0.7,0.46,0.81,1.0,1.0,0.88,0.88,0.81,0.66,0.77,0.43,0.68,0.22,0.63,0.0,1
178,0.0,0.71,0.39,0.81,0.74,0.99,1.0,1.0,0.78,0.75,0.53,0.5,0.28,0.26,0.11,0.0,1
179,0.0,0.71,0.59,0.78,0.96,1.0,1.0,0.84,0.94,0.6,0.88,0.35,0.8,0.11,0.84,0.0,1
180,0.0,0.72,0.49,0.84,0.98,1.0,1.0,0.8,0.93,0.6,0.88,0.39,0.76,0.2,0.59,0.0,1
181,0.0,0.73,0.59,0.85,1.0,1.0,0.84,0.8,0.72,0.6,0.59,0.4,0.5,0.2,0.53,0.0,1
182,0.0,0.74,0.32,0.81,0.77,1.0,1.0,0.99,0.84,0.74,0.64,0.49,0.41,0.24,0.18,0.0,1
183,0.0,0.77,0.35,1.0,0.47,0.95,0.44,0.61,0.38,0.27,0.0,0.0,0.36,0.03,1.0,0.05,1
184,0.0,0.77,0.45,0.83,0.9,1.0,1.0,0.88,0.82,0.65,0.6,0.42,0.37,0.21,0.1,0.0,1
185,0.0,0.8,0.44,1.0,0.47,0.91,0.47,0.58,0.48,0.24,0.16,0.0,0.27,0.01,1.0,0.03,1
186,0.0,0.84,0.46,0.86,0.91,1.0,1.0,0.94,0.85,0.7,0.72,0.45,0.61,0.2,0.62,0.0,1
187,1.0,1.0,0.57,0.88,0.38,0.72,0.19,0.58,0.05,0.44,0.0,0.29,0.0,0.14,0.05,0.0,1
188,1.0,1.0,0.67,0.9,0.33,0.75,0.25,0.6,0.0,0.45,0.0,0.3,0.0,0.15,0.0,0.0,1
189,1.0,1.0,0.79,0.86,0.62,0.71,0.5,0.57,0.33,0.43,0.21,0.28,0.08,0.14,0.0,0.0,1
190,1.0,1.0,0.81,0.89,0.67,0.74,0.48,0.59,0.33,0.45,0.22,0.3,0.07,0.15,0.0,0.0,1
191,1.0,1.0,0.87,0.86,0.6,0.71,0.4,0.57,0.2,0.43,0.2,0.29,0.13,0.14,0.0,0.0,1
192,1.0,1.0,0.93,0.86,0.73,0.72,0.57,0.57,0.4,0.44,0.23,0.29,0.1,0.15,0.0,0.0,1
193,0.1,1.0,0.04,0.67,0.11,0.7,0.02,0.8,0.19,0.33,0.0,0.0,0.21,0.08,1.0,0.12,1
194,0.11,0.47,0.58,0.7,1.0,1.0,0.73,0.7,0.5,0.34,0.28,0.0,0.0,0.12,0.7,0.1,1
195,0.13,0.59,0.0,0.63,0.42,0.82,0.9,1.0,1.0,0.8,0.8,0.54,0.59,0.27,0.45,0.0,1
196,0.13,0.65,0.58,0.82,1.0,1.0,0.77,0.8,0.52,0.6,0.32,0.4,0.1,0.2,0.0,0.0,1
197,0.15,0.59,0.57,0.81,1.0,1.0,0.79,0.72,0.65,0.44,0.53,0.15,0.0,0.01,0.21,0.0,1
198,0.15,0.67,0.44,1.0,0.51,0.91,0.44,0.44,0.29,0.0,0.0,0.01,0.5,0.04,1.0,0.02,1
199,0.17,0.66,0.45,1.0,0.42,0.82,0.45,0.4,0.41,0.0,0.0,0.09,0.51,0.1,1.0,0.1,1
200,0.18,0.76,0.5,0.86,1.0,1.0,0.93,0.8,0.7,0.6,0.48,0.4,0.23,0.2,0.0,0.0,1
201,0.2,0.66,0.34,1.0,0.41,0.74,0.29,0.32,0.0,0.0,0.08,0.0,0.54,0.04,1.0,0.11,1
202,0.21,0.64,0.34,1.0,0.39,0.92,0.41,0.55,0.41,0.18,0.0,0.01,0.34,0.0,1.0,0.01,1
203,0.22,0.57,0.0,0.63,0.46,0.82,0.94,1.0,1.0,0.8,0.78,0.53,0.56,0.27,0.44,0.0,1
